*History for Amtrak ALL TRAINS at SLM (Salem, OR)
*Train #	Sch Dp	Act Dp
511	06/17/2019 10:51 AM (Mo)	11:12AM
500	06/17/2019 6:41 AM (Mo)	6:54AM
505	06/16/2019 7:11 PM (Su)	7:38PM
508	06/16/2019 5:41 PM (Su)	5:53PM
11	06/16/2019 3:37 PM (Su)	4:00PM
14	06/16/2019 1:55 PM (Su)	3:04PM
513	06/16/2019 1:36 PM (Su)	1:44PM
506	06/16/2019 10:11 AM (Su)	10:14AM
505	06/15/2019 7:11 PM (Sa)	7:45PM
508	06/15/2019 5:41 PM (Sa)	6:16PM
11	06/15/2019 3:37 PM (Sa)	3:41PM
14	06/15/2019 1:55 PM (Sa)	3:59PM
513	06/15/2019 1:36 PM (Sa)	1:44PM
506	06/15/2019 10:11 AM (Sa)	10:18AM
505	06/14/2019 7:11 PM (Fr)	7:40PM
508	06/14/2019 5:41 PM (Fr)	5:55PM
11	06/14/2019 3:37 PM (Fr)	3:41PM
14	06/14/2019 1:55 PM (Fr)	3:02PM
511	06/14/2019 10:51 AM (Fr)	11:03AM
500	06/14/2019 6:41 AM (Fr)	6:47AM
505	06/13/2019 7:11 PM (Th)	7:19PM
508	06/13/2019 5:41 PM (Th)	5:41PM
11	06/13/2019 3:37 PM (Th)	3:40PM
14	06/13/2019 1:55 PM (Th)	3:57PM
511	06/13/2019 10:51 AM (Th)	11:02AM
500	06/13/2019 6:41 AM (Th)	7:02AM
505	06/12/2019 7:11 PM (We)	8:06PM
508	06/12/2019 5:41 PM (We)	5:50PM
11	06/12/2019 3:37 PM (We)	3:46PM
14	06/12/2019 1:55 PM (We)	4:04PM
511	06/12/2019 10:51 AM (We)	11:02AM
500	06/12/2019 6:41 AM (We)	6:45AM
505	06/11/2019 7:11 PM (Tu)	7:59PM
508	06/11/2019 5:41 PM (Tu)	6:02PM
11	06/11/2019 3:37 PM (Tu)	4:09PM
14	06/11/2019 1:55 PM (Tu)	3:53PM
511	06/11/2019 10:51 AM (Tu)	11:07AM
500	06/11/2019 6:41 AM (Tu)	6:45AM
505	06/10/2019 7:11 PM (Mo)	7:32PM
508	06/10/2019 5:41 PM (Mo)	5:47PM
11	06/10/2019 3:37 PM (Mo)	4:10PM
14	06/10/2019 1:55 PM (Mo)	3:44PM
511	06/10/2019 10:51 AM (Mo)	11:12AM
500	06/10/2019 6:41 AM (Mo)	6:44AM
505	06/09/2019 7:11 PM (Su)	7:51PM
508	06/09/2019 5:41 PM (Su)	5:52PM
11	06/09/2019 3:37 PM (Su)	3:49PM
14	06/09/2019 1:55 PM (Su)	2:16PM
513	06/09/2019 1:36 PM (Su)	1:41PM
506	06/09/2019 10:11 AM (Su)	10:16AM
505	06/08/2019 7:11 PM (Sa)	7:37PM
508	06/08/2019 5:41 PM (Sa)	5:52PM
11	06/08/2019 3:37 PM (Sa)	3:50PM
14	06/08/2019 1:55 PM (Sa)	2:30PM
513	06/08/2019 1:36 PM (Sa)	1:44PM
506	06/08/2019 10:11 AM (Sa)	10:15AM
505	06/07/2019 7:11 PM (Fr)	7:30PM
508	06/07/2019 5:41 PM (Fr)	5:45PM
11	06/07/2019 3:37 PM (Fr)	3:50PM
14	06/07/2019 1:55 PM (Fr)	1:58PM
